X,Y,name,longitude,latitude,WKT,icon_url
34.44296,-1.91991,Mosongo,"34.443","-1.91991",POINT Z (34.44295999999999 -1.919909999999996 0),
33.42693,-9.0224,Igale Hill,"33.4269","-9.0224",POINT Z (33.42693000000001 -9.022399999999994 0),
33.38138,-8.82432,Iwanza Hill,"33.3814","-8.82432",POINT Z (33.38138000000001 -8.824319999999993 0),
38.217,-6.67529,Matuli,"38.217","-6.67529",POINT Z (38.21699999999997 -6.675289999999999 0),
39.41437,-10.44895,Ngunja Dispensary,"39.4144","-10.4489",POINT Z (39.41436999999998 -10.44894999999999 0),
39.33387,-10.98839,Nanguruwe,"39.3339","-10.9884",POINT Z (39.33387 -10.98839000000002 0),
38.785026,-10.843545,Navai PS,"38.785","-10.8435",POINT Z (38.785026 -10.843545 0),
39.80133,-5.02724,Dodeani Shuleni,"39.8013","-5.02724",POINT Z (39.80133 -5.027240000000013 0),
39.81605,-5.05669,Mibiligini Kiungoni,"39.816","-5.05669",POINT Z (39.81604999999999 -5.056690000000006 0),
39.7456,-4.94276,Konde,"39.7456","-4.94276",POINT Z (39.74559999999999 -4.942759999999994 0),
39.03248,-7.62228,Nyambili,"39.0325","-7.62228",POINT Z (39.03247999999998 -7.622279999999999 0),
39.168875,-7.628191,Tomoni,"39.1689","-7.62819",POINT Z (39.16887500000002 -7.628190999999989 0),
39.31424,-8.10049,Mbuchi,"39.3142","-8.10049",POINT Z (39.31423999999999 -8.100490000000002 0),
35.77713,-10.55357,Mtakanini P/S,"35.7771","-10.5536",POINT Z (35.77713000000001 -10.55357000000001 0),
35.47985,-10.5197,Litowa,"35.4798","-10.5197",POINT Z (35.47985 -10.51969999999999 0),
33.893223,-2.738792,Mhango PS,"33.8932","-2.73879",POINT Z (33.89322300000001 -2.738791999999994 0),
33.941159,-3.240804,Suligi PS,"33.9412","-3.2408",POINT Z (33.94115900000002 -3.240803999999999 0),
33.814178,-3.437157,Busilili Dispensary,"33.8142","-3.43716",POINT Z (33.814178 -3.437157000000015 0),
34.133074,-3.268693,Mwandu Itinje PS,"34.1331","-3.26869",POINT Z (34.133074 -3.268693000000011 0),
34.317776,-3.015609,Mwashata PS,"34.3178","-3.01561",POINT Z (34.31777600000002 -3.015609000000017 0),
34.712666,-5.839668,Mbugani Mnadani,"34.7127","-5.83967",POINT Z (34.71266600000001 -5.839667999999998 0),
34.981569,-5.619225,Hika,"34.9816","-5.61923",POINT Z (34.98156899999999 -5.619224999999992 0),
32.71267,-8.91407,Hamwelo,"32.7127","-8.91407",POINT Z (32.71267 -8.91407 0),
33.04168,-8.85193,Iyenga,"33.0417","-8.85193",POINT Z (33.04167999999998 -8.851930000000001 0),
32.9243,-9.03191,Mbozi Mission,"32.9243","-9.03191",POINT Z (32.92430000000002 -9.031910000000005 0),
38.05768,-5.39322,Kwenjugo,"38.0577","-5.39322",POINT Z (38.05767999999999 -5.393220000000016 0),
37.98576,-5.21106,Msomera,"37.9858","-5.21106",POINT Z (37.98575999999998 -5.211059999999994 0),
37.30045,-5.8931,Lusane (Msamvu),"37.3004","-5.8931",POINT Z (37.30045000000002 -5.893099999999998 0),
36.58262,-2.49031,Sinonik,"36.5826","-2.49031",POINT Z (36.58261999999999 -2.490309999999996 0),
36.529651,-2.850759,Kiserian,"36.5297","-2.85076",POINT Z (36.52965100000001 -2.850759000000016 0),
35.338729,-6.599337,Chifutuka_PS,"35.3387","-6.59934",POINT Z (35.33872900000001 -6.599336999999991 0),
36.181821,-5.890549,Membe Hill,"36.1818","-5.89055",POINT Z (36.181821 -5.890548999999998 0),
36.088525,-4.753324,Keikei PS,"36.0885","-4.75332",POINT Z (36.088525 -4.753323999999992 0),
35.744858,-4.960432,Tungufu Hill,"35.7449","-4.96043",POINT Z (35.744858 -4.960431999999992 0),
30.863034,-1.622282,Kiregete PS,"30.863","-1.62228",POINT Z (30.86303400000001 -1.622282000000006 0),
30.925973,-1.850304,Masheli Hill,"30.926","-1.8503",POINT Z (30.92597300000001 -1.850304000000003 0),
30.985162,-1.848039,Bwikizo PS,"30.9852","-1.84804",POINT Z (30.98516200000001 -1.848039000000006 0),
31.051761,-2.954032,Nyamtukuza Hill,"31.0518","-2.95403",POINT Z (31.051761 -2.954032000000018 0),
37.4516,-3.74242,Nyabinda,"37.4516","-3.74242",POINT Z (37.45159999999999 -3.742420000000013 0),
33.66321,-8.93236,Usohamuungano P/S,"33.6632","-8.93236",POINT Z (33.66320999999998 -8.932359999999992 0),
33.72313,-8.83443,Ihango P/S,"33.7231","-8.83443",POINT Z (33.72312999999999 -8.834430000000006 0),
36.93753,-6.35819,Masenge Hill,"36.9375","-6.35819",POINT Z (36.93753000000002 -6.358189999999999 0),
38.458885,-7.042702,Usungura,"38.4589","-7.0427",POINT Z (38.458885 -7.042702 0),
38.06497,-6.82199,Kiwege Dispensary,"38.065","-6.82199",POINT Z (38.06497000000001 -6.82199 0),
38.01747,-6.71327,Kinonko,"38.0175","-6.71327",POINT Z (38.01747000000002 -6.713269999999991 0),
34.16007,-9.07031,Kigala P/S,"34.1601","-9.07031",POINT Z (34.16007 -9.070309999999997 0),
39.80812,-4.99016,Chanjaani Shuleni,"39.8081","-4.99016",POINT Z (39.80812000000002 -4.990160000000006 0),
37.02282,-10.70614,Jaribuni P/S,"37.0228","-10.7061",POINT Z (37.02282 -10.70614000000001 0),
37.45161,-10.97221,Cheleweni P/S,"37.4516","-10.9722",POINT Z (37.45161000000002 -10.97220999999999 0),
36.03246,-10.26134,Nangero P/S,"36.0325","-10.2613",POINT Z (36.03246000000001 -10.26133999999999 0),
36.13344,-10.2183,Nambecha Dispensary,"36.1334","-10.2183",POINT Z (36.13344000000002 -10.2183 0),
35.26369,-10.5077,Lugagara Hill,"35.2637","-10.5077",POINT Z (35.26369000000002 -10.50769999999999 0),
34.993573,-4.588468,Mdilu PS,"34.9936","-4.58847",POINT Z (34.993573 -4.588468000000015 0),
35.222396,-4.969062,Nduamughanga PS,"35.2224","-4.96906",POINT Z (35.222396 -4.969062000000013 0),
34.030899,-4.801326,Kaugeli PS,"34.0309","-4.80133",POINT Z (34.030899 -4.801325999999992 0),
32.249012,-5.223869,Isongwa PS,"32.249","-5.22387",POINT Z (32.24901199999999 -5.223869000000003 0),
