X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,longitude,latitude,icon_url
39.1189,-8.4966,Muungano Dispensary,,,,,,"-1","0","-1",,,39.1189,-8.4966,
39.23908,-9.88914,Mputwa,,,,,,"-1","0","-1",,,39.2391,-9.88914,
37.97594,-10.54105,Namatunu,,,,,,"-1","0","-1",,,37.9759,-10.5411,
38.3743,-10.17825,Lipuyu,,,,,,"-1","0","-1",,,38.3743,-10.1783,
38.15424,-10.30915,NAHIMBA,,,,,,"-1","0","-1",,,38.1542,-10.3092,
38.785026,-10.843545,Navai PS,,,,,,"-1","0","-1",,,38.785,-10.8435,
39.06258,-8.32416,Tumbalio Hill,,,,,,"-1","0","-1",,,39.0626,-8.32416,
39.06366,-7.80527,Mangwi,,,,,,"-1","0","-1",,,39.0637,-7.80527,
39.18766,-7.88917,Mtunda B,,,,,,"-1","0","-1",,,39.1877,-7.88917,
39.07602,-7.92613,Muyuyu,,,,,,"-1","0","-1",,,39.076,-7.92613,
38.34688,-7.83666,Mtanza-Msona,,,,,,"-1","0","-1",,,38.3469,-7.83666,
39.71055,-5.29222,Mgelema,,,,,,"-1","0","-1",,,39.7105,-5.29222,
39.68395,-4.93546,Tondooni,,,,,,"-1","0","-1",,,39.684,-4.93546,
36.66123,-3.30557,Kimnyaki,,,,,,"-1","0","-1",,,36.6612,-3.30557,
36.65603,-3.56468,Mbuyuni,,,,,,"-1","0","-1",,,36.656,-3.56468,
35.43092,-6.16148,Chikola Pr School,,,,,,"-1","0","-1",,,35.4309,-6.16148,
35.54329,-5.47807,Bugenika,,,,,,"-1","0","-1",,,35.5433,-5.47807,
36.64271,-6.24945,Chang'ombe,,,,,,"-1","0","-1",,,36.6427,-6.24945,
35.44949,-6.37191,Chidilo,,,,,,"-1","0","-1",,,35.4495,-6.37191,
31.78971,-3.00238,Kakora,,,,,,"-1","0","-1",,,31.7897,-3.00238,
35.35196,-8.09797,Limuli Hill,,,,,,"-1","0","-1",,,35.352,-8.09797,
31.81254,-1.21588,Bushagara,,,,,,"-1","0","-1",,,31.8125,-1.21588,
31.81046,-1.25232,Igombe,,,,,,"-1","0","-1",,,31.8105,-1.25232,
31.14543,-1.72917,Ihembe I,,,,,,"-1","0","-1",,,31.1454,-1.72917,
31.30261,-2.549353,Kitwechembigo,,,,,,"-1","0","-1",,,31.3026,-2.54935,
37.13303,-3.18894,Manio-Suumu Pr Sc,,,,,,"-1","0","-1",,,37.133,-3.18894,
37.11076,-3.18853,Mae_Kibong'oto pr,,,,,,"-1","0","-1",,,37.1108,-3.18853,
38.97689,-9.86203,Namkonjela,,,,,,"-1","0","-1",,,38.9769,-9.86203,
33.53732,-2.1372,Haruzele,,,,,,"-1","0","-1",,,33.5373,-2.1372,
34.37796,-1.96238,Kitembere,,,,,,"-1","0","-1",,,34.378,-1.96238,
32.69531,-8.51363,Isanzu,,,,,,"-1","0","-1",,,32.6953,-8.51363,
32.16463,-9.0575,Kapele Sec,,,,,,"-1","0","-1",,,32.1646,-9.0575,
33.94274,-9.59834,Kilwa,,,,,,"-1","0","-1",,,33.9427,-9.59834,
33.5444,-7.93356,Luwalaje,,,,,,"-1","0","-1",,,33.5444,-7.93356,
32.91563,-8.3852,Maleza,,,,,,"-1","0","-1",,,32.9156,-8.3852,
32.99968,-8.66679,Itindi,,,,,,"-1","0","-1",,,32.9997,-8.66679,
37.433781,-6.1263,Kinda,,,,,,"-1","0","-1",,,37.4338,-6.1263,
33.47175,-2.85453,Mwandu,,,,,,"-1","0","-1",,,33.4718,-2.85453,
33.35125,-8.93497,Kihesa,,,,,,"-1","0","-1",,,33.3513,-8.93497,
35.26355,-3.99693,Dirim,,,,,,"-1","0","-1",,,35.2636,-3.99693,
35.69299,-4.34519,Endanachan,,,,,,"-1","0","-1",,,35.693,-4.34519,
37.10995,-5.53981,Olkitikiti,,,,,,"-1","0","-1",,,37.1099,-5.53981,
35.63673,-4.20499,Singu,,,,,,"-1","0","-1",,,35.6367,-4.20499,
35.60551,-4.22518,Arri Pr Sch,,,,,,"-1","0","-1",,,35.6055,-4.22518,
34.66382,-9.09786,Ihanja PS,,,,,,"-1","0","-1",,,34.6638,-9.09786,
33.47424,-2.45443,Ihale Pr School,,,,,,"-1","0","-1",,,33.4742,-2.45443,
33.11632,-3.41959,Itinje,,,,,,"-1","0","-1",,,33.1163,-3.41959,
33.10196,-4.24758,Shilla,,,,,,"-1","0","-1",,,33.102,-4.24758,
37.30601,-5.69928,Masagalu hill,,,,,,"-1","0","-1",,,37.306,-5.69928,
38.63295,-5.02218,Misalai Hill,,,,,,"-1","0","-1",,,38.633,-5.02218,
38.46663,-5.00927,Mpale hill 2,,,,,,"-1","0","-1",,,38.4666,-5.00927,
38.17708,-4.75499,Magila,,,,,,"-1","0","-1",,,38.1771,-4.75499,
35.50328,-6.60241,CHIFUKULO,,,,,,"-1","0","-1",,,35.5033,-6.60241,
38.22667,-10.37215,Mbondo,,,,,,"-1","0","-1",,,38.2267,-10.3721,
38.32553,-10.37041,Chimbendenga,,,,,,"-1","0","-1",,,38.3255,-10.3704,
32.48519,-8.54994,Mazinde Hill,,,,,,"-1","0","-1",,,32.4852,-8.54994,
